,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,incident_district,incident_division,precip,visibility,heatindex,season,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,school,college,crime
4706,11.0,45,monday,0,night,thakurgaon,rangpur,0.0,10,29,winter,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4707,,8,sunday,0,night,,rangpur,0.0,10,24,winter,293551,287676,581227,102,4.33,887.0,,1502,91,2,2,154,12,assault
4708,11.0,44,friday,1,evening,thakurgaon,rangpur,0.0,10,28,winter,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4709,,31,monday,0,,,RANGPUR,28.5,8,36,rainy,293551,287676,581227,102,4.33,887.0,,1502,91,2,2,154,12,assault
4710,5.0,22,monday,0,morning,thakurgaon,rangpur,22.0,8,34,hot,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4711,5.0,19,thursday,0,night,thakurgaon,rangpur,11.2,9,33,hot,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4712,12.0,50,tuesday,0,night,thakurgaon,rangpur,0.0,10,23,winter,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4713,1.0,2,monday,0,night,thakurgaon,rangpur,0.0,10,22,winter,293551,287676,581227,102,4.33,887.0,53.3,1502,91,2,2,154,12,assault
4714,,43,sunday,0,night,,dhaka,0.1,10,34,rainy,98120,99053,197173,99,4.55,1399.0,,365,27,0,1,17,3,assault
4715,3.0,12,sunday,0,noon,munshiganj,dhaka,0.0,10,31,hot,98120,99053,197173,99,4.55,1399.0,57.1,365,27,0,1,17,3,assault
4716,3.0,12,sunday,0,noon,munshiganj,  dhaka ,0.0,10,31,hot,98120,99053,197173,99,4.55,1399.0,57.1,365,27,0,1,17,3,assault
4717,,18,tuesday,0,night,,mymensingh,0.1,10,33,hot,208601,210707,419308,99,4.45,1239.0,,933,12,0,1,51,9,assault
4718,8.0,35,wednesday,0,night,mymensingh,mymensingh,0.6,10,37,rainy,208601,210707,419308,99,4.45,1239.0,40.0,933,12,0,1,51,9,assault
4719,12.0,49,wednesday,0,night,mymensingh,mymensingh,0.0,10,26,winter,208601,210707,419308,99,4.45,1239.0,40.0,933,12,0,1,51,9,assault
4720,5.0,18,saturday,1,morning,mymensingh,mymensingh,7.3,10,31,hot,208601,210707,419308,99,4.45,1239.0,40.0,933,12,0,1,51,9,assault
4721,10.0,41,saturday,1,night,barisal,barisal,0.0,10,34,rainy,113529,121430,234959,93,4.42,946.0,62.5,701,75,0,5,50,12,assault
4722,12.0,50,thursday,0,noon,jashore,khulna,0.0,10,27,winter,131846,130588,262434,101,4.2,1062.0,59.8,615,11,0,8,52,10,bodyfound
4723,10.0,42,saturday,1,night,jashore,khulna,0.2,10,32,rainy,131846,130588,262434,101,4.2,1062.0,59.8,615,11,0,8,52,10,bodyfound
4724,6.0,24,sunday,0,night,jashore,khulna,30.9,7,36,rainy,131846,130588,262434,101,4.2,1062.0,59.8,615,11,0,8,52,10,bodyfound
4725,10.0,42,saturday,1,night,jashore,khulna,0.2,10,32,rainy,131846,130588,262434,101,4.2,1062.0,59.8,615,11,0,8,52,10,bodyfound
4726,,42,saturday,1,night,jashore,khulna,0.2,10,32,rainy,131846,130588,262434,101,4.2,1062.0,59.8,615,11,0,8,52,10,bodyfound
4727,7.0,28,friday,1,morning,bogura,rajshahi,1.1,10,40,rainy,97593,97593,195186,100,3.92,1156.0,54.6,449,21,1,2,23,6,bodyfound
4728,4.0,16,thursday,0,morning,bogura,rajshahi,17.4,8,35,hot,97593,97593,195186,100,3.92,1156.0,54.6,449,21,1,2,23,6,bodyfound
4729,1.0,4,tuesday,0,night,lalmonirhat,rangpur,0.0,10,20,winter,112398,112398,224796,100,4.31,1153.0,45.1,753,14,0,1,39,7,bodyfound
4730,6.0,26,thursday,0,night,lalmonirhat,rangpur,21.1,8,37,rainy,112398,112398,224796,100,4.31,1153.0,45.1,753,14,0,1,39,7,bodyfound
4731,6.0,25,thursday,0,night,lalmonirhat,rangpur,52.0,6,36,rainy,112398,112398,224796,100,4.31,1153.0,45.1,753,14,0,1,39,7,bodyfound
4732,2.0,7,tuesday,0,morning,habiganj,sylhet,0.0,10,24,winter,56615,57650,114265,98,5.39,510.0,37.1,153,6,0,3,6,1,bodyfound
4733,,51,monday,0,morning,brahmanbaria,chattogram,0.0,10,25,winter,69975,75240,145215,93,5.21,1481.0,52.7,273,5,0,2,15,1,bodyfound
4734,7.0,29,thursday,0,morning,brahmanbaria,chattogram,34.9,8,31,rainy,69975,75240,145215,93,5.21,1481.0,52.7,273,5,0,2,15,1,bodyfound
4735,10.0,40,saturday,1,morning,brahmanbaria,chattogram,19.4,8,35,rainy,69975,75240,145215,93,5.21,1481.0,52.7,273,5,0,2,15,1,bodyfound
4736,7.0,29,monday,0,morning,brahmanbaria,chattogram,16.5,9,40,rainy,69975,75240,145215,93,5.21,1481.0,52.7,273,5,0,2,15,1,bodyfound
4737,1.0,3,saturday,1,morning,joypurhat,rajshahi,0.0,10,19,winter,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4738,4.0,16,thursday,0,night,joypurhat,rajshahi,0.6,10,38,hot,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4739,8.0,33,monday,0,afternoon,joypurhat,rajshahi,9.0,10,39,rainy,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4740,12.0,51,saturday,1,morning,joypurhat,rajshahi,0.0,10,25,winter,68333,69286,137619,99,3.75,888.0,56.9,456,11,0,1,17,10,bodyfound
4741,5.0,20,sunday,0,morning,joypurhat,RAJSHAHI,1.8,10,36,hot,68333,69286,137619,99,3.75,1.5296182976673157e-43,56.9,456,11,0,1,17,10,bodyfound
